[11.01.2026 17:50] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768135823247_113fc8dee79c4308bf540388d2f23e30.mp4 | Цена перевода: $0.0004
[11.01.2026 17:50] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768135823247_113fc8dee79c4308bf540388d2f23e30.mp4 | Цена перевода: $0.0004
[11.01.2026 18:19] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768137560098_07f3a486830d481bbcf07fd281c1a8f8.MP4 | Цена перевода: $0.0004
[11.01.2026 18:19] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768137560098_07f3a486830d481bbcf07fd281c1a8f8.MP4 | Цена перевода: $0.0004
[11.01.2026 18:23] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768137797239_098f32702b374505b9595813a739df9b.mp4 | Цена перевода: $0.0006
[11.01.2026 18:23] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768137797239_098f32702b374505b9595813a739df9b.mp4 | Цена перевода: $0.0006
[11.01.2026 18:25] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768137902554_18fdc9d5d4f8467eacb7475cc269035f.mp4 | Цена перевода: $0.0008
[11.01.2026 18:25] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768137902554_18fdc9d5d4f8467eacb7475cc269035f.mp4 | Цена перевода: $0.0008
[11.01.2026 18:26] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768137998218_cfac1bab0cc94287842fa48702f21c13.MP4 | Цена перевода: $0.0010
[11.01.2026 18:27] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768137998218_cfac1bab0cc94287842fa48702f21c13.MP4 | Цена перевода: $0.0010
[11.01.2026 18:28] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768138114833_e3956a40787842e4a6a571cd9ee9be3a.mp4 | Цена перевода: $0.0012
[11.01.2026 18:29] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768138114833_e3956a40787842e4a6a571cd9ee9be3a.mp4 | Цена перевода: $0.0012
[11.01.2026 22:14] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768151686734_278a18dd9d3c4d6aa89f60086a3b7201.mp4 | Цена перевода: $0.0002
[11.01.2026 22:15] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768151686734_278a18dd9d3c4d6aa89f60086a3b7201.mp4 | Цена перевода: $0.0002
[11.01.2026 23:19] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768155561772_9ebb521bcf1f4cfb96132b48e3c50119.mp4 | Цена перевода: $0.0001
[11.01.2026 23:19] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768155561772_9ebb521bcf1f4cfb96132b48e3c50119.mp4 | Цена перевода: $0.0001
[11.01.2026 23:20] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768155561772_9ebb521bcf1f4cfb96132b48e3c50119.mp4 | Цена перевода: $0.0001
