[12.01.2026 10:30] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768195781092_f0bea8dedb6e42a18fe5dc435c70935d.mp4 | Цена перевода: $0.0007
[12.01.2026 10:30] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768195781092_f0bea8dedb6e42a18fe5dc435c70935d.mp4 | Цена перевода: $0.0007
[12.01.2026 11:31] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768199459673_d9d4a35bccf7421284904644fd67c6bf.mp4 | Цена перевода: $0.0009
[12.01.2026 11:31] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768199459673_d9d4a35bccf7421284904644fd67c6bf.mp4 | Цена перевода: $0.0009
[12.01.2026 12:33] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768203191082_27c7b8e116b1430a8f84178ea4bf3883.mp4 | Цена перевода: $0.0011
[12.01.2026 12:33] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768203191082_27c7b8e116b1430a8f84178ea4bf3883.mp4 | Цена перевода: $0.0011
[12.01.2026 13:36] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768206924205_02c64afdbded4587b447205261aefa23.mp4 | Цена перевода: $0.0012
[12.01.2026 13:36] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768206924205_02c64afdbded4587b447205261aefa23.mp4 | Цена перевода: $0.0012
[12.01.2026 14:40] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768210798993_afeaf69e6adb4ed581e9f581db44d9f0.mp4 | Цена перевода: $0.0018
[12.01.2026 14:40] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768210798993_afeaf69e6adb4ed581e9f581db44d9f0.mp4 | Цена перевода: $0.0018
[12.01.2026 15:42] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768214529803_9f0b4ad59cab4b51a92af76f02eb4d7e.MP4 | Цена перевода: $0.0020
[12.01.2026 15:42] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768214529803_9f0b4ad59cab4b51a92af76f02eb4d7e.MP4 | Цена перевода: $0.0020
[12.01.2026 17:37] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768221395736_d4750aa563104323b97e527b09c4b589.mp4 | Цена перевода: $0.0026
[12.01.2026 17:37] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768221395736_d4750aa563104323b97e527b09c4b589.mp4 | Цена перевода: $0.0026
[12.01.2026 17:37] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768221395736_d4750aa563104323b97e527b09c4b589.mp4 | Цена перевода: $0.0026
[12.01.2026 19:08] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768226865956_55340e10d99f42569734d5f37646e0d1.mp4 | Цена перевода: $0.0028
[12.01.2026 19:08] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768226865956_55340e10d99f42569734d5f37646e0d1.mp4 | Цена перевода: $0.0028
[12.01.2026 19:08] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768226865956_55340e10d99f42569734d5f37646e0d1.mp4 | Цена перевода: $0.0028
[12.01.2026 19:44] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768228988834_a667f748021a40be95b8a1e0fd5fd457.mp4 | Цена перевода: $0.0030
[12.01.2026 19:45] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768228988834_a667f748021a40be95b8a1e0fd5fd457.mp4 | Цена перевода: $0.0030
[12.01.2026 19:45] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768228988834_a667f748021a40be95b8a1e0fd5fd457.mp4 | Цена перевода: $0.0030
[12.01.2026 21:20] | Соцсеть: FB | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768234809881_b1554a7f912e4bbd950f2da6cd967dc8.jpg | Цена перевода: $0.0002
[12.01.2026 21:20] | Соцсеть: TG | Тип: Photo | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768234809881_b1554a7f912e4bbd950f2da6cd967dc8.jpg | Цена перевода: $0.0002
[12.01.2026 22:33] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768239159804_57dc5041d24e462ba3748eb1fa9777c1.mp4 | Цена перевода: $0.0039
[12.01.2026 22:33] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768239159804_57dc5041d24e462ba3748eb1fa9777c1.mp4 | Цена перевода: $0.0039
[12.01.2026 22:33] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768239159804_57dc5041d24e462ba3748eb1fa9777c1.mp4 | Цена перевода: $0.0039
[12.01.2026 23:49] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768243732002_4bb1d9289f304f2fa4c61fd06647fb0f.mp4 | Цена перевода: $0.0015
[12.01.2026 23:49] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768243732002_4bb1d9289f304f2fa4c61fd06647fb0f.mp4 | Цена перевода: $0.0015
[12.01.2026 23:49] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768243732002_4bb1d9289f304f2fa4c61fd06647fb0f.mp4 | Цена перевода: $0.0015
