[14.01.2026 18:54] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768398524125_5907007611164eed9747eec1b370dc40.mp4 | Цена перевода: $0.0030
[14.01.2026 19:56] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768402526856_b9a2365b8a764344a834a7f201d6a147.mp4 | Цена перевода: $0.0033
[14.01.2026 19:57] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768402526856_b9a2365b8a764344a834a7f201d6a147.mp4 | Цена перевода: $0.0033
[14.01.2026 20:02] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768402526856_b9a2365b8a764344a834a7f201d6a147.mp4 | Цена перевода: $0.0033
[14.01.2026 21:04] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768406590883_37f6be079b2240dcb158f9507a7deeb1.mp4 | Цена перевода: $0.0036
[14.01.2026 21:05] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768406590883_37f6be079b2240dcb158f9507a7deeb1.mp4 | Цена перевода: $0.0036
[14.01.2026 21:10] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768406590883_37f6be079b2240dcb158f9507a7deeb1.mp4 | Цена перевода: $0.0036
[14.01.2026 22:16] | Соцсеть: FB | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768410960853_b9ddd4dbd75744af91469a73d50601a2.mp4 | Цена перевода: $0.0046
[14.01.2026 22:22] | Соцсеть: IG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768410960853_b9ddd4dbd75744af91469a73d50601a2.mp4 | Цена перевода: $0.0046
[14.01.2026 22:27] | Соцсеть: TG | Тип: Video | Ссылка: https://hjgrtsyvvammtmelniit.supabase.co/storage/v1/object/public/media/1768410960853_b9ddd4dbd75744af91469a73d50601a2.mp4 | Цена перевода: $0.0046
